id,c_holder,c_cates,c_author,c_lang,record_type,status,number_of_pages,url
10198,", Desmaretz_1",1710 -,France Marly,Cleartext: Plaintext: French,Cipher,Partially decrypted,,https://de-crypt.org/decrypt-web/RecordsView/10198
10197,"Barcelona ,Archivo de la Corona de Aragón, Diversos,Legación en Génova y Turín, Cajón 19, leg. 30, doc. 19. ACA_Diversos_Cajón_19_leg.30_9",1715 -,,Cleartext: Plaintext:,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/10197
10196,"Barcelona ,Archivo de la Corona de Aragón, Diversos,Legación en Génova y Turín, Cajón 19, leg. 30, doc. 16. ACA_Diversos_Cajón_19_leg.30_8",1718 -,,Cleartext: Plaintext:,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/10196
10195,"Barcelona ,Archivo de la Corona de Aragón, Diversos,Legación en Génova y Turín, Cajón 19, leg. 30, doc. 15. ACA_Diversos_Cajón_19_leg.30_7",1716 -,,Cleartext: Plaintext:,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/10195
10194,"Barcelona ,Archivo de la Corona de Aragón, Diversos,Legación en Génova y Turín, Cajón 19, leg. 30, doc. 8. ACA_Diversos_Cajón_19_leg.30_6",1711 -,,Cleartext: Plaintext:,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/10194
10193,"Barcelona ,Archivo de la Corona de Aragón, Diversos,Legación en Génova y Turín, Cajón 19, leg. 30, doc. 6. ACA_Diversos_Cajón_19_leg.30_5",1715 -,,Cleartext: Plaintext:,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/10193
10192,"Barcelona ,Archivo de la Corona de Aragón, Diversos,Legación en Génova y Turín, Cajón 19, leg. 30, doc. 5. ACA_Diversos_Cajón_19_leg.30_4",1715 -,,Cleartext: Plaintext:,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/10192
10191,"Barcelona ,Archivo de la Corona de Aragón, Diversos,Legación en Génova y Turín, Cajón 19, leg. 30, doc. 3. ACA_Diversos_Cajón_19_leg.30_3",1717 -,,Cleartext: Plaintext:,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/10191
10190,"Barcelona ,Archivo de la Corona de Aragón, Diversos,Legación en Génova y Turín, Cajón 19, leg. 30, doc. 2. ACA_Diversos_Cajón_19_leg.30_2",1715 -,,Cleartext: Plaintext:,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/10190
10189,"Barcelona ,Archivo de la Corona de Aragón, Diversos,Legación en Génova y Turín, Cajón 19, leg. 30, doc. 1. ACA_Diversos_Cajón_19_leg.30_1",1715 -,,Cleartext: Plaintext:,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/10189
10188,"Barcelona ,Archivo de la Corona de Aragón, Reserva, 22. S. XVI. ACA_Reserva_22_1",1500 - 1599,,Cleartext: Plaintext:,Key,N/A,1,https://de-crypt.org/decrypt-web/RecordsView/10188
10187,"Barcelona ,Archivo de la Corona de Aragón, Reserva, 21. S. XVI. ACA_Reserva_21_1",1500 - 1599,,Cleartext: Plaintext:,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/10187
10186,"Barcelona ,Archivo de la Corona de Aragón, Reserva, 20. S. XVI. ACA_Reserva_20_1",1500 - 1599,,Cleartext: Plaintext:,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/10186
10185,"Barcelona ,Archivo de la Corona de Aragón, Reserva, 19. S. XVI. ACA_Reserva_19_1",1500 - 1599,,Cleartext: Plaintext:,Key,N/A,1,https://de-crypt.org/decrypt-web/RecordsView/10185
10184,"Barcelona ,Archivo de la Corona de Aragón, Diversos, Sástago, 193 (Lío B), nº 79/113. ACA_Diversos_Sástago_193(Lío B)_10",1520 -,,Cleartext: Plaintext:,Key,N/A,1,https://de-crypt.org/decrypt-web/RecordsView/10184
10183,"Barcelona ,Archivo de la Corona de Aragón, Cancillería, Cartas reales Alfonso IV/V, Varia, 69. ACA_Cancillería_Cartas_reales _Alfonso_IV/V_Varia, 69.",1437 -,,Cleartext: Spanish Plaintext:,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/10183
10182,"Barcelona ,Archivo de la Corona de Aragón, Cancillería, Procesos, volumen 53, fol. 24r-v. ACA_Cancillería_Procesos_volumen_53_1",1413 -,,Cleartext: Spanish Plaintext:,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/10182
10181,"Barcelona ,Archivo de la Corona de Aragón, Diversos,Legación en Génova y Turín, Cajón 1, leg. 22, doc. 67. ACA_Diversos_Cajón_1_leg.22_doc.67.",1718 -,,Cleartext: Plaintext:,Cipher,Non-decrypted,4,https://de-crypt.org/decrypt-web/RecordsView/10181
10180,"Barcelona ,Archivo de la Corona de Aragón, Diversos, Sástago, 193 (Lío B), nº 79/83. ACA_Diversos_Sástago_193(Lío B)_9",1498 -,,Cleartext: Plaintext:,Cipher,Non-decrypted,7,https://de-crypt.org/decrypt-web/RecordsView/10180
10179,"Barcelona ,Archivo de la Corona de Aragón, Diversos, Sástago, 193 (Lío B), nº 79/79. ACA_Diversos_Sástago_193(Lío B)_8",1498 -,,Cleartext: Spanish Plaintext:,Cipher,Non-decrypted,3,https://de-crypt.org/decrypt-web/RecordsView/10179
10178,"Barcelona ,Archivo de la Corona de Aragón, Diversos, Sástago, 193 (Lío B), nº 79/77. ACA_Diversos_Sástago_193(Lío B)_7",1497 -,La Mejorada,Cleartext: Plaintext: Castilian,Cipher,Non-decrypted,1,https://de-crypt.org/decrypt-web/RecordsView/10178
10177,"Barcelona ,Archivo de la Corona de Aragón, Diversos, Sástago, 193 (Lío B), nº 79/73. ACA_Diversos_Sástago_193(Lío B)_6",1497 -,,Cleartext: Plaintext:,Cipher,Non-decrypted,2,https://de-crypt.org/decrypt-web/RecordsView/10177
10176,"Barcelona ,Archivo de la Corona de Aragón, Diversos, Sástago, 193 (Lío B), nº 79/71. ACA_Diversos_Sástago_193(Lío B)_5",1497 -,,Cleartext: Plaintext:,Cipher,Non-decrypted,3,https://de-crypt.org/decrypt-web/RecordsView/10176
10175,"Barcelona ,Archivo de la Corona de Aragón, Diversos, Sástago, 193 (Lío B), nº 79/66. ACA_Diversos_Sástago_193(Lío B)_4",1496 -,,Cleartext: Plaintext:,Cipher,Non-decrypted,2,https://de-crypt.org/decrypt-web/RecordsView/10175
10174,"Barcelona ,Archivo de la Corona de Aragón, Diversos, Sástago, 193 (Lío B), nº 79/64. ACA_Diversos_Sástago_193(Lío B)_3",1496 -,,Cleartext: Spanish Plaintext:,Cipher,Non-decrypted,6,https://de-crypt.org/decrypt-web/RecordsView/10174
10173,"Barcelona ,Archivo de la Corona de Aragón, Diversos, Sástago, 193 (Lío B), nº 79/59. ACA_Diversos_Sástago_193(Lío B)_2",1495 -,,Cleartext: Plaintext:,Cipher,Non-decrypted,2,https://de-crypt.org/decrypt-web/RecordsView/10173
10172,"Barcelona ,Archivo de la Corona de Aragón, Diversos, Sástago, 193 (Lío B), nº 79/58. ACA_Diversos_Sástago_193(Lío B)_1",1495 -,,Cleartext: Plaintext:,Cipher,Non-decrypted,2,https://de-crypt.org/decrypt-web/RecordsView/10172
10171,"Barcelona ,Archivo de la Corona de Aragón, Cancillería, Registro 3225, fol. 59r. ACA_Cancillería_Registro_3225_1",1435 -,,Cleartext: Spanish Plaintext:,Cipher,Non-decrypted,1,https://de-crypt.org/decrypt-web/RecordsView/10171
10170,"Barcelona ,Archivo de la Corona de Aragón, Reserva, 12. Ca. 1420. ACA_Reserva_12_1",1420 -,,Cleartext: Spanish Plaintext:,Cipher,Non-decrypted,1,https://de-crypt.org/decrypt-web/RecordsView/10170
