id	cipher	literal	grade	basis
s0t000	for	co	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s0t001	ub	mu	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s0t002	id	ni	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s0t003	#	s	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s0t004	X	a	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s0t005	10	u	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s0t006	his	gi	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s0t007	#	s	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s0t008	xir	ti	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s0t009	tis	si	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s0t010	eb	me	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s0t011	od	no	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s0t012	#	s	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s0t013	Ft	t	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s0t014	M	r	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s0t015	9	e	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s0t016	ho	do	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s0t017	ib	mi	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s0t018	#	s	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s0t019	tas	sa	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s0t020	pun	lu	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s0t021	xir	ti	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s0t022	Zb	s	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s0t023	#	s	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s0t024	xar	ta	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s0t025	sil	bi	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s0t026	pin	li	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s0t027	42	en	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s0t028	he	de	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s0t029	tan	ra	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s0t030	Ft	t	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s0t031	A	i	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s0t032	y	o	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s0t033	L		M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s0t034	Fs		M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t000	Z4	i	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t001	DB	p	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t002	tus	su	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t003	F	m	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t004	ud	nu	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t005	13	ll	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t006	oc	os	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t007	X	a	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t008	Z2	?	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t009	ltu	?	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t010	#	s	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t011	3	q	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t012	Z2	?	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t013	#	s	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t014	ten	re	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t015	#	s	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t016	xir	ti	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t017	xur	tu	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t018	9	e	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t019	T	n	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t020	hi	di	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t021	#	s	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t022	A	i	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t023	^9/7	ll	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t024	ic	is	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t025	5	q	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t026	Z	u	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t027	Z4	i	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
