symbol	plain	status	occurrence_evidence
0	a	aligned	A01:1;F01:1;F06:8
1	h	aligned	A12:4
2	f	aligned	E08:4
3	d	aligned	A04:4;A08:1;A17:1;E09:6
4	d	aligned	A01:2;A17:5;E08:1
5	f	aligned	A16:1;E08:3
6	e	disputed: b/6-like; e here, m elsewhere	A10:7;A15:7;E09:5;F01:3;F03:5
7	c	aligned	A09:5;A12:3;A13:2;E03:3;E08:6;E09:1
8	b	aligned	A02:3
9	b	aligned	F01:2;F05:1
10	h	aligned	A02:1;E03:1
11	i	aligned	A12:8;A15:5;E02:4;F02:2;F06:3
12	i	aligned	A14:2;E04:4;E08:5;F02:4
15	i	aligned	A05:4;A08:2;A09:6;A11:1;A14:4;A15:10;A16:2;A17:4;E06:8;E08:2;E09:7;F01:4
16	g	aligned	E02:3
17	g	aligned	E01:1
18	l	aligned	E01:3;E04:1;E07:1;F06:2
19	l	aligned	E01:4;E06:2;E08:8;F02:3
20	p	aligned	A12:12;F04:1
22	n	aligned	A02:6;A11:2;E09:3;F06:6
23	u	aligned	A04:2;F05:2
24	i	aligned	A07:1;A16:5;E07:4
25	s	aligned	A12:9;E01:6;F01:6
26	s	aligned	A17:3;E06:9
30	q	aligned	F03:3
31	s	aligned	A10:4;A15:9;E04:5;E07:5;F05:3
32	n	aligned	A05:5;A15:8
33	q	aligned	A04:1
34	t	aligned	A05:3;A05:7;A08:4;A14:7;E08:9;F02:5;F06:7
35	u	aligned	A14:3
37	t	aligned	A05:2;A09:7;A12:14;A14:5;A15:1;A17:9;E06:5;F03:2
38	u	aligned	A09:8;A12:15;A15:4
39	x	aligned	A09:2
a	o	aligned	A10:8
c	r	aligned	A02:5;A12:2;A15:6;F04:2
d	m	aligned	A07:3
e	m	aligned	F02:1;F06:4
f	o	aligned	A03:4;A08:5;A12:11;E03:2;E04:2;E06:6;E07:2;E09:2
g	p	aligned	A06:1;A12:7
h	i	aligned	A02:2;A12:5
i	r	aligned	A03:3;A16:4;E06:7
l	o	aligned	A04:3;A06:3
m	e	aligned	A02:4;A09:3;A10:3;A12:6;A15:3;A17:6;E06:1;E08:10;F04:4;F06:5
n	a	aligned	A02:7;A12:1;A14:6;A17:8;E01:2;F06:1
o	a	aligned	F04:3
p	e	aligned	A03:2;A05:6;A09:1;A14:8;A16:3;A17:2;E02:2;E06:3;F02:6
q	r	aligned	A06:2;A09:4;A10:6;A15:2;A17:7;E02:1;E08:11
t	a	aligned	A07:2;A10:5;A12:13;E02:5;F03:1
x	c	aligned	A08:3;A10:1;A12:10;A14:1;E04:3;E06:4;E07:3;E09:4
y	u	aligned	A03:1;E01:5;E08:7;F01:5;F03:4
z	a	aligned	A05:1;A10:2;A13:1
