# Post-transfer supplement, no editorial repairs.
P1.C01 comunicabitdilectioniuest⟦c?⟧aeorato⟦?⟧
P1.C02 serenissimiregiscatolicima⟦c?⟧chiocasta
P1.C03 gnetieaqu⟦l/z?p⟧ci⟦c?⟧canouumapparatum
P1.C04 militisincirculouestp⟦g^.a⟧licoab
P1.C05 electorecoloniaeetstatibusil
P1.C06 liusci⟦c?⟧culiincep⟦plu_.⟧macquaein
P1.C07 deinpr⟦l/z?6⟧iudiciumbonipublicieteti
P1.C08 amdomusnostr⟦l/z?⟧euereamurincommo
P1.C09 dasecumfusiuscon⟦pla/u?⟧limus
P1.C10 cumigituailludnegotiumcelerire
P1.C11 medioindigeatnequealiusproeo
P1.C12 occurratmodusquamutetnosfes
P1.C13 tinantercollectionemmilitisqui
P1.C14 inpotentioremnumerumquamdictus
P1.C15 apparatusseextendatinillis
P1.C16 partibusinstituamussialiaslibe
P1.C17 ramdispositionemibidemseruareet
P1.C18 praecauereuelimusneillecirculus
P1.C19 alienoarbitriosubiiciaturordina
P1.C20 uimuseapropterqua⟦ple/i?⟧nuscomes
P1.C21 ha⟦14⟧feldiusseconfestimcoloniam
P1.C22 transferreatquehuicoperi
P1.C23 quamaiorepotestceleritatemanum
P1.C24 ad⟦c/1?o/0?⟧ueredebe⟦l/z?⟧t.deficientibusuero
P1.C25 nobisproeosumptibusnecessariis
P1.C26 petimusadilectioneuestradenuo
P2.C01 perinstanterquatenusiisquae
P2.C02 sibipraedictusoratorinhacmateri
P2.C03 distinctiusexpositurusestomni
P2.C04 modamfidemhabereetconsideratarei
P2.C05 grauitatedesideratoshactenus
P2.C06 centummilleflorenoscoloniamcus
P2.C07 todi⟦l/z?⟧enostrorumibidemexisten
P2.C08 tiumcommissariorum(quibusexpred
P2.C09 seiniungimusnequidquamex
P2.C10 illispr⟦l/z?p⟧terexpressummanda
P2.C11 tumnostrum⟦l/z?⟧utcomitisha⟦14⟧feldii
P2.C12 assignationemexpendant)consig
P2.C13 naricurareuelit{De catero eidem Dil^{oi} Vra}
