span	position	symbol	literal	draft_expected	status
V01	1	x	c	c	match
V01	2	12	i	i	match
V01	3	y	u	u	match
V01	4	15	i	i	match
V01	5	37	t	t	match
V01	6	7	c	a	mismatch
V01	7	31	s	s	match
V02	1	34	t	t	match
V02	2	q	r	r	match
V02	3	6	e	e	match
V02	4	35	u	u	match
V02	5	15	i	i	match
V02	6	i	r	r	match
V02	7	p	e	e	match
V02	8	22	n	n	match
V02	9	31	s	s	match
V02	10	24	i	i	match
V02	11	26	s	s	match
V03	1	12	i	i	match
V03	2	t	a	a	match
V03	3	6	e	m	mismatch
V03	4	11	i	i	match
V03	5	22	n	n	match
V03	6	4	d	d	match
V03	7	m	e	e	match
V03	8	z	a	a	match
V03	9	4	d	d	match
V03	10	y	u	u	match
V03	11	7	c	c	match
V03	12	p	e	e	match
V03	13	32	n	n	match
V03	14	34	t	t	match
V03	15	15	i	i	match
V03	16	25	s	s	match
V04	1	t	a	a	match
V04	2	32	n	n	match
V04	3	22	n	n	match
V04	4	24	i	i	match
V04	5	25	s	s	match
V05	1	31	s	s	match
V05	2	38	u	u	match
V05	3	8	b	b	match
V06	1	31	s	s	match
V06	2	37	t	t	match
V06	3	m	e	e	match
V06	4	34	t	t	match
V06	5	g	p	p	match
V06	6	c	r	r	match
V06	7	a	o	o	match
V06	8	37	t	t	match
V06	9	p	e	e	match
V06	10	x	c	c	match
V06	11	34	t	t	match
V06	12	15	i	i	match
V06	13	l	o	o	match
V06	14	22	n	n	match
V06	15	m	e	e	match
V07	1	t	a	a	match
V07	2	37	t	t	match
V07	3	30		q	unknown
V07	4	y	u	u	match
V07	5	6	e	e	match
V08	1	0	a	a	match
V08	2	9		b	unknown
V08	3	6	e	e	match
V08	4	15	i	i	match
V08	5	y	u	u	match
V08	6	25	s	s	match
V09	1	e		m	unknown
V09	2	11	i	i	match
V09	3	19		l	unknown
V09	4	12	i	i	match
V09	5	34	t	t	match
V09	6	p	e	e	match
V10	1	2		f	unknown
V10	2	35	u	u	match
V10	3	p	e	e	match
V10	4	c	r	r	match
V10	5	15	i	i	match
V10	6	37	t	t	match
V11	1	20	p	p	match
V11	2	0	a	r	mismatch
V11	3	0	a	a	match
V11	4	m	e	e	match
V11	5	26	s	s	match
V11	6	12	i	i	match
V11	7	4	d	d	match
V11	8	24	i	i	match
V11	9	f	o	o	match
V12	1	d	m	m	match
V12	2	23	u	u	match
V12	3	22	n	n	match
V12	4	11	i	i	match
V12	5	34	t	t	match
V12	6	z	a	a	match
