table	code	root	start_line	start_digit	end_line	end_digit	grade	qualification
A	883	[cipher begins]	R1	1	R1	3	I	assumed framing or displaced punctuation boundary; see emendations.json
A	31159	so	R1	4	R1	8	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31217	stat?	R1	9	R1	13	M	uncertain handwriting or selected reading; see key-evidence.json
A	31214	lich	R1	14	R1	18	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	69	als	R1	19	R1	20	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31420	ich	R1	21	R1	25	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31078	nun	R1	26	R1	30	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31047	den	R1	31	R1	35	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31126	in	R1	36	R1	40	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	95	n	R1	41	R1	42	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31382	halt	R1	43	R1	47	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31109	der	R1	48	R1	52	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31226	selb	R1	53	R1	57	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31033	ge	R1	58	R1	62	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31452	fu	R1	63	R1	67	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31265	n	R1	68	R2	3	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31047	den	R2	4	R2	8	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31443	so	R2	9	R2	13	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31191	groß	R2	14	R2	18	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31306	hoff	R2	19	R2	23	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31078	nun	R2	24	R2	28	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	99	[g]	R2	29	R2	30	I	contextual emendation; not a universal historical99 mapping
A	31080	mach	R2	31	R2	35	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31268	mir	R2	36	R2	40	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	854	,	R2	41	R2	43	I	assumed framing or displaced punctuation boundary; see emendations.json
A	00	das	R2	44	R2	45	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	8		R2	46	R2	46	H	1752 Nota, items 2 and 4 (R1696 I7480 P1): 8 is the errans (null) among two-digit numbers
A	31221	es	R2	47	R2	51	I	proposed digit repair or token boundary after deletion; see emendations.json
A	31109	der	R2	52	R2	56	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31099	o	R2	57	R2	61	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31226	selb	R2	62	R2	66	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31005	an	R2	67	R2	71	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31019	noch	R2	72	R2	76	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31033	ge	R2	77	R2	81	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	8		R2	82	R2	82	H	1752 Nota, items 2 and 4 (R1696 I7480 P1): 8 is the errans (null) among two-digit numbers
A	31334	li	R2	83	R3	2	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31223	ng	R3	3	R3	7	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31113	en	R3	8	R3	12	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31181	werden	R3	13	R3	17	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	01	die	R3	18	R3	19	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	70	durch	R3	20	R3	21	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31312	das	R3	22	R3	26	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31293	dem	R3	27	R3	31	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31075	st	R3	32	R3	36	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31027	at	R3	37	R3	41	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31368	s	R3	42	R3	46	I	proposed digit repair or token boundary after deletion; see emendations.json
A	22	secret	R3	47	R3	48	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31099	o	R3	49	R3	53	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
